,alpha,gamma,min_epsilon,max_epsilon,epsilon_decay_rate,avg_reward,completion_rate,avg_steps
ql_agent_1658938474,0.1,0.1,0.05,0.99,0.999,0.7800142960695877,0.97,61.57371134020619
ql_agent_1658938496,0.1,0.2,0.05,0.99,0.999,0.8161984494884911,0.9775,51.28132992327366
ql_agent_1658938517,0.1,0.3,0.05,0.99,0.999,0.8331004235933503,0.9775,46.47365728900256
ql_agent_1658938536,0.1,0.4,0.05,0.99,0.999,0.843413274885438,0.982,43.54022403258656
ql_agent_1658938555,0.1,0.5,0.05,0.99,0.999,0.8509713595030737,0.976,41.39036885245902
ql_agent_1658938573,0.1,0.6,0.05,0.99,0.999,0.8657131799029623,0.979,37.19713993871297
ql_agent_1658938590,0.1,0.7,0.05,0.99,0.999,0.8721195895045964,0.979,35.374872318692546
ql_agent_1658938607,0.1,0.8,0.05,0.99,0.999,0.8668414496306673,0.9815,36.8762098828324
ql_agent_1658938624,0.1,0.9,0.05,0.99,0.999,0.8649373559907834,0.9765,37.41781874039938
ql_agent_1658938649,0.2,0.1,0.05,0.99,0.999,0.8000899280575539,0.973,55.86330935251799
ql_agent_1658938670,0.2,0.2,0.05,0.99,0.999,0.8365234374999999,0.972,45.5
ql_agent_1658938690,0.2,0.3,0.05,0.99,0.999,0.8416980205138037,0.978,44.02811860940695
ql_agent_1658938710,0.2,0.4,0.05,0.99,0.999,0.8489070874808576,0.9795,41.97753956100051
ql_agent_1658938728,0.2,0.5,0.05,0.99,0.999,0.8519354145440652,0.9815,41.116148751910345
ql_agent_1658938746,0.2,0.6,0.05,0.99,0.999,0.8639720793944814,0.9785,37.69238630556975
ql_agent_1658938763,0.2,0.7,0.05,0.99,0.999,0.8633347602739726,0.9855,37.87366818873668
ql_agent_1658938780,0.2,0.8,0.05,0.99,0.999,0.8659104108324847,0.982,37.14103869653768
ql_agent_1658938797,0.2,0.9,0.05,0.99,0.999,0.8641260390025575,0.9775,37.648593350383635
ql_agent_1658938821,0.3,0.1,0.05,0.99,0.999,0.8159957627118645,0.9735,51.33898305084746
ql_agent_1658938842,0.3,0.2,0.05,0.99,0.999,0.83406901376737,0.9715,46.198147195059185
ql_agent_1658938862,0.3,0.3,0.05,0.99,0.999,0.8419753331218274,0.985,43.9492385786802
ql_agent_1658938880,0.3,0.4,0.05,0.99,0.999,0.8500699894716692,0.9795,41.64675855028076
ql_agent_1658938899,0.3,0.5,0.05,0.99,0.999,0.8593732008060389,0.977,39.00051177072672
ql_agent_1658938916,0.3,0.6,0.05,0.99,0.999,0.8653272675304878,0.984,37.30691056910569
ql_agent_1658938933,0.3,0.7,0.05,0.99,0.999,0.8662265145705521,0.978,37.05112474437628
ql_agent_1658938950,0.3,0.8,0.05,0.99,0.999,0.8687458040281331,0.9775,36.33452685421995
ql_agent_1658938966,0.3,0.9,0.05,0.99,0.999,0.8752033799719531,0.9805,34.497705252422236
ql_agent_1658938988,0.4,0.1,0.05,0.99,0.999,0.8269852917524446,0.9715,48.21307256819352
ql_agent_1658939009,0.4,0.2,0.05,0.99,0.999,0.8360177158389089,0.9715,45.64384971693258
ql_agent_1658939030,0.4,0.3,0.05,0.99,0.999,0.8389148905529955,0.9765,44.819764464925754
ql_agent_1658939048,0.4,0.4,0.05,0.99,0.999,0.8578307198231676,0.9755,39.439261916965656
