,alpha,gamma,min_epsilon,max_epsilon,epsilon_decay_rate,avg_reward,completion_rate,avg_steps
sarsa_agent_1658939990,0.1,0.1,0.05,0.99,0.999,0.7782784741889804,0.971,62.06745623069001
sarsa_agent_1658940015,0.1,0.2,0.05,0.99,0.999,0.8056562500000001,0.975,54.28
sarsa_agent_1658940036,0.1,0.3,0.05,0.99,0.999,0.8282605474756536,0.9755,47.85033316248078
sarsa_agent_1658940057,0.1,0.4,0.05,0.99,0.999,0.8385607798165137,0.981,44.920489296636084
sarsa_agent_1658940077,0.1,0.5,0.05,0.99,0.999,0.841509445260603,0.9785,44.0817577925396
sarsa_agent_1658940095,0.1,0.6,0.05,0.99,0.999,0.8547818026012302,0.9755,40.30650948231676
sarsa_agent_1658940113,0.1,0.7,0.05,0.99,0.999,0.8630779328893443,0.976,37.94672131147541
sarsa_agent_1658940131,0.1,0.8,0.05,0.99,0.999,0.8668445757439713,0.9745,36.875320677270395
sarsa_agent_1658940148,0.1,0.9,0.05,0.99,0.999,0.8682189660138249,0.9765,36.48438300051203
sarsa_agent_1658940172,0.2,0.1,0.05,0.99,0.999,0.8112846551391036,0.9705,52.67903142709943
sarsa_agent_1658940194,0.2,0.2,0.05,0.99,0.999,0.818572225765306,0.98,50.60612244897959
sarsa_agent_1658940216,0.2,0.3,0.05,0.99,0.999,0.8334542553873782,0.9745,46.37301180092355
sarsa_agent_1658940236,0.2,0.4,0.05,0.99,0.999,0.8452171427200614,0.977,43.02712384851586
sarsa_agent_1658940256,0.2,0.5,0.05,0.99,0.999,0.8421321232789393,0.9805,43.904640489546146
sarsa_agent_1658940275,0.2,0.6,0.05,0.99,0.999,0.8506406170321263,0.9805,41.4844467108618
sarsa_agent_1658940293,0.2,0.7,0.05,0.99,0.999,0.8509116577335375,0.9795,41.40735068912711
sarsa_agent_1658940311,0.2,0.8,0.05,0.99,0.999,0.8622832507621951,0.984,38.172764227642276
sarsa_agent_1658940330,0.2,0.9,0.05,0.99,0.999,0.8493896107032457,0.9705,41.840288511076764
sarsa_agent_1658940354,0.3,0.1,0.05,0.99,0.999,0.818637130462725,0.9725,50.587660668380465
sarsa_agent_1658940376,0.3,0.2,0.05,0.99,0.999,0.8223390552773497,0.9735,49.5346687211094
sarsa_agent_1658940397,0.3,0.3,0.05,0.99,0.999,0.8414348664830942,0.976,44.10297131147541
sarsa_agent_1658940418,0.3,0.4,0.05,0.99,0.999,0.8410653518021474,0.978,44.20807770961145
sarsa_agent_1658940438,0.3,0.5,0.05,0.99,0.999,0.844404371803069,0.9775,43.25831202046036
sarsa_agent_1658940457,0.3,0.6,0.05,0.99,0.999,0.8439069652848423,0.983,43.39979654120041
sarsa_agent_1658940476,0.3,0.7,0.05,0.99,0.999,0.8482126669847329,0.9825,42.17506361323155
sarsa_agent_1658940494,0.3,0.8,0.05,0.99,0.999,0.8576861388818137,0.9815,39.48038716250637
sarsa_agent_1658940512,0.3,0.9,0.05,0.99,0.999,0.8619950847186701,0.9775,38.25473145780051
sarsa_agent_1658940534,0.4,0.1,0.05,0.99,0.999,0.822196407935285,0.9735,49.57524396507447
sarsa_agent_1658940556,0.4,0.2,0.05,0.99,0.999,0.8275319328406169,0.9725,48.05758354755784
sarsa_agent_1658940577,0.4,0.3,0.05,0.99,0.999,0.8390066394279878,0.979,44.793667007150155
sarsa_agent_1658940598,0.4,0.4,0.05,0.99,0.999,0.8335007916453429,0.977,46.35977482088025
sarsa_agent_1658940618,0.4,0.5,0.05,0.99,0.999,0.8370218142272261,0.977,45.3582395087001
sarsa_agent_1658940639,0.4,0.6,0.05,0.99,0.999,0.8390995884379785,0.9795,44.767228177641655
sarsa_agent_1658940658,0.4,0.7,0.05,0.99,0.999,0.8466613520408164,0.98,42.61632653061225
sarsa_agent_1658940678,0.4,0.8,0.05,0.99,0.999,0.8417699422242084,0.979,44.007660878447396
sarsa_agent_1658940696,0.4,0.9,0.05,0.99,0.999,0.8582253491799078,0.9755,39.32701178882624
sarsa_agent_1658940719,0.5,0.1,0.05,0.99,0.999,0.8215757081834533,0.973,49.75179856115108
sarsa_agent_1658940740,0.5,0.2,0.05,0.99,0.999,0.8384142933514774,0.9645,44.96215655780197
sarsa_agent_1658940762,0.5,0.3,0.05,0.99,0.999,0.8347837374420403,0.9705,45.994848016486344
sarsa_agent_1658940782,0.5,0.4,0.05,0.99,0.999,0.8408195095709147,0.973,44.27800616649537
sarsa_agent_1658940803,0.5,0.5,0.05,0.99,0.999,0.8362993231566821,0.9765,45.563748079877115
sarsa_agent_1658940824,0.5,0.6,0.05,0.99,0.999,0.8401661770402891,0.968,44.46384297520661
sarsa_agent_1658940844,0.5,0.7,0.05,0.99,0.999,0.8450410995015337,0.978,43.07719836400818
sarsa_agent_1658940863,0.5,0.8,0.05,0.99,0.999,0.8422816649642493,0.979,43.86210418794688
sarsa_agent_1658940883,0.5,0.9,0.05,0.99,0.999,0.8456207932692308,0.975,42.91230769230769
sarsa_agent_1658940905,0.6,0.1,0.05,0.99,0.999,0.8314138104838709,0.9765,46.95340501792115
sarsa_agent_1658940926,0.6,0.2,0.05,0.99,0.999,0.8355831702387064,0.974,45.76745379876797
sarsa_agent_1658940948,0.6,0.3,0.05,0.99,0.999,0.8368843846252567,0.974,45.39733059548254
sarsa_agent_1658940969,0.6,0.4,0.05,0.99,0.999,0.8311468653499742,0.9715,47.02933607822954
sarsa_agent_1658940990,0.6,0.5,0.05,0.99,0.999,0.8379068260368663,0.9765,45.10650281618024
sarsa_agent_1658941012,0.6,0.6,0.05,0.99,0.999,0.8274820921528135,0.9685,48.07176045431079
sarsa_agent_1658941033,0.6,0.7,0.05,0.99,0.999,0.8380296203987729,0.978,45.07157464212679
sarsa_agent_1658941053,0.6,0.8,0.05,0.99,0.999,0.8440002410025707,0.9725,43.373264781491
sarsa_agent_1658941074,0.6,0.9,0.05,0.99,0.999,0.838094229539642,0.9775,45.05319693094629
sarsa_agent_1658941096,0.7,0.1,0.05,0.99,0.999,0.8271783230293662,0.9705,48.15816589386914
sarsa_agent_1658941117,0.7,0.2,0.05,0.99,0.999,0.830333194301848,0.974,47.26078028747433
sarsa_agent_1658941139,0.7,0.3,0.05,0.99,0.999,0.8347420302013422,0.9685,46.006711409395976
sarsa_agent_1658941160,0.7,0.4,0.05,0.99,0.999,0.8391077112268518,0.972,44.76491769547325
sarsa_agent_1658941181,0.7,0.5,0.05,0.99,0.999,0.8360846601101999,0.9755,45.624807790876474
sarsa_agent_1658941201,0.7,0.6,0.05,0.99,0.999,0.8385162275064267,0.9725,44.933161953727506
sarsa_agent_1658941223,0.7,0.7,0.05,0.99,0.999,0.828575736618631,0.9715,47.76067936181163
sarsa_agent_1658941245,0.7,0.8,0.05,0.99,0.999,0.8318591339974292,0.9725,46.826735218509
sarsa_agent_1658941267,0.7,0.9,0.05,0.99,0.999,0.8370661974571875,0.9635,45.34561494551116
sarsa_agent_1658941288,0.8,0.1,0.05,0.99,0.999,0.8332238110539847,0.9725,46.43856041131105
sarsa_agent_1658941311,0.8,0.2,0.05,0.99,0.999,0.8211748875321337,0.9725,49.86580976863753
sarsa_agent_1658941332,0.8,0.3,0.05,0.99,0.999,0.8312697911335721,0.977,46.99437052200614
sarsa_agent_1658941353,0.8,0.4,0.05,0.99,0.999,0.8349468427835052,0.97,45.94845360824742
sarsa_agent_1658941375,0.8,0.5,0.05,0.99,0.999,0.8289916303232426,0.9745,47.64238070805541
sarsa_agent_1658941399,0.8,0.6,0.05,0.99,0.999,0.819537331344058,0.9635,50.331603528801246
sarsa_agent_1658941422,0.8,0.7,0.05,0.99,0.999,0.8289092906720291,0.9635,47.66580176440062
sarsa_agent_1658941444,0.8,0.8,0.05,0.99,0.999,0.8313824938693858,0.9685,46.9623128549303
sarsa_agent_1658941468,0.8,0.9,0.05,0.99,0.999,0.8201019127997914,0.959,50.17101147028154
sarsa_agent_1658941490,0.9,0.1,0.05,0.99,0.999,0.8320720706156234,0.9665,46.7661665804449
sarsa_agent_1658941512,0.9,0.2,0.05,0.99,0.999,0.8255651981314434,0.97,48.61701030927835
sarsa_agent_1658941534,0.9,0.3,0.05,0.99,0.999,0.8313762666752181,0.9745,46.96408414571575
sarsa_agent_1658941557,0.9,0.4,0.05,0.99,0.999,0.8277580063986557,0.967,47.99327817993795
sarsa_agent_1658941580,0.9,0.5,0.05,0.99,0.999,0.8271508612331956,0.967,48.165977249224404
sarsa_agent_1658941603,0.9,0.6,0.05,0.99,0.999,0.8248663651315791,0.969,48.81578947368421
sarsa_agent_1658941626,0.9,0.7,0.05,0.99,0.999,0.8259039256198347,0.968,48.52066115702479
sarsa_agent_1658941649,0.9,0.8,0.05,0.99,0.999,0.8256126261645962,0.966,48.60351966873706
sarsa_agent_1658941673,0.9,0.9,0.05,0.99,0.999,0.823280519859813,0.963,49.2668743509865
